时间,日前出清价格,实时出清价格
00:15,405.00,363.47
00:30,389.30,365.20
00:45,386.02,352.90
01:00,383.62,354.17
01:15,379.58,352.03
01:30,378.66,351.63
01:45,376.56,352.07
02:00,375.00,347.17
02:15,375.00,347.97
02:30,375.00,346.87
02:45,374.20,348.40
03:00,345.60,303.33
03:15,350.00,299.33
03:30,352.50,313.31
03:45,353.00,318.36
04:00,353.00,321.15
04:15,353.00,315.68
04:30,355.00,313.23
04:45,380.52,352.43
05:00,387.93,360.00
05:15,387.00,358.03
05:30,388.21,361.67
05:45,386.99,358.33
06:00,374.20,353.27
06:15,342.50,345.07
06:30,342.50,335.60
06:45,335.40,330.03
07:00,328.00,332.07
07:15,280.00,330.23
07:30,270.00,332.20
07:45,250.00,338.68
08:00,0.00,323.73
08:15,350.00,335.19
08:30,329.40,353.08
08:45,325.00,337.14
09:00,320.00,315.55
09:15,325.00,310.41
09:30,315.00,337.79
09:45,310.00,347.98
10:00,310.00,364.10
10:15,315.00,330.90
10:30,320.00,351.08
10:45,325.00,359.93
11:00,329.40,331.34
11:15,358.20,413.95
11:30,354.90,376.85
11:45,351.20,382.94
12:00,349.00,357.58
12:15,349.00,367.15
12:30,341.10,359.79
12:45,336.80,358.22
13:00,340.00,361.71
13:15,341.30,341.01
13:30,344.60,374.90
13:45,345.60,374.80
14:00,342.70,367.60
14:15,330.60,365.13
14:30,332.80,366.27
14:45,333.00,363.39
15:00,349.60,374.26
15:15,333.00,363.28
15:30,342.50,361.71
15:45,350.00,363.10
16:00,355.00,365.80
16:15,358.10,371.57
16:30,361.60,377.53
16:45,365.00,379.33
17:00,365.00,377.67
17:15,356.30,368.39
17:30,363.00,382.94
17:45,365.40,381.24
18:00,370.00,372.50
18:15,370.00,370.23
18:30,369.00,366.21
18:45,367.40,366.10
19:00,370.00,350.39
19:15,366.70,352.12
19:30,369.00,370.10
19:45,370.00,365.15
20:00,370.00,362.41
20:15,370.00,359.10
20:30,370.00,358.10
20:45,370.00,356.63
21:00,369.00,361.40
21:15,365.40,358.40
21:30,360.00,353.63
21:45,358.20,347.50
22:00,355.00,340.00
22:15,362.00,344.87
22:30,358.00,339.20
22:45,354.30,337.40
23:00,350.00,336.90
23:15,384.35,354.13
23:30,380.15,347.10
23:45,379.00,354.13
24:00,378.68,365.20
