时间,日前出清价格,实时出清价格
00:15,400.00,408.62
00:30,398.10,407.50
00:45,398.10,411.47
01:00,395.80,407.37
01:15,394.62,404.50
01:30,392.47,402.80
01:45,392.47,398.03
02:00,390.99,396.40
02:15,390.79,394.80
02:30,389.52,393.70
02:45,389.61,389.91
03:00,388.57,388.43
03:15,389.61,388.17
03:30,388.34,388.63
03:45,388.34,387.39
04:00,387.36,388.53
04:15,384.81,387.73
04:30,388.34,388.03
04:45,390.99,388.70
05:00,394.92,388.70
05:15,397.77,390.30
05:30,399.48,391.77
05:45,398.65,394.83
06:00,390.79,393.83
06:15,382.16,366.80
06:30,376.40,370.50
06:45,364.90,367.60
07:00,347.10,348.07
07:15,295.00,333.00
07:30,0.00,335.67
07:45,0.00,0.00
08:00,0.00,0.00
08:15,303.92,0.00
08:30,0.00,96.99
08:45,0.00,106.25
09:00,0.00,1.79
09:15,0.00,0.00
09:30,0.00,0.00
09:45,0.00,0.00
10:00,0.00,0.00
10:15,0.00,0.00
10:30,0.00,0.00
10:45,0.00,0.00
11:00,0.00,0.00
11:15,0.00,0.00
11:30,0.00,0.00
11:45,0.00,0.00
12:00,0.00,0.00
12:15,0.00,0.00
12:30,0.00,0.00
12:45,0.00,0.00
13:00,0.00,0.00
13:15,0.00,0.00
13:30,0.00,0.00
13:45,0.00,0.00
14:00,0.00,0.00
14:15,0.00,0.00
14:30,0.00,0.00
14:45,0.00,0.00
15:00,0.00,0.00
15:15,0.00,0.00
15:30,0.00,0.00
15:45,0.00,0.00
16:00,0.00,0.00
16:15,0.00,0.00
16:30,0.00,0.00
16:45,0.00,0.00
17:00,310.00,100.00
17:15,350.60,312.23
17:30,364.90,356.63
17:45,376.00,367.08
18:00,380.00,354.50
18:15,380.00,306.10
18:30,380.40,366.23
18:45,384.30,362.64
19:00,382.30,382.10
19:15,382.10,372.90
19:30,380.50,382.91
19:45,375.80,391.19
20:00,371.90,388.99
20:15,368.50,383.91
20:30,364.90,383.12
20:45,360.60,384.29
21:00,353.20,381.16
21:15,350.00,380.64
21:30,333.00,381.68
21:45,310.00,381.99
22:00,300.00,383.03
22:15,351.70,380.30
22:30,350.60,380.67
22:45,347.10,378.97
23:00,347.10,383.70
23:15,381.40,399.41
23:30,375.50,391.60
23:45,376.00,394.89
24:00,376.60,396.57
