时间,日前出清价格,实时出清价格
00:15,401.60,409.42
00:30,400.22,406.43
00:45,396.61,404.01
01:00,399.10,404.37
01:15,395.20,420.04
01:30,396.21,416.67
01:45,395.20,435.10
02:00,392.41,426.15
02:15,393.81,427.07
02:30,392.41,405.29
02:45,391.20,397.00
03:00,391.00,401.26
03:15,391.00,402.10
03:30,389.91,399.04
03:45,389.90,397.24
04:00,389.89,396.31
04:15,389.80,396.88
04:30,389.90,398.93
04:45,390.00,396.97
05:00,391.20,400.90
05:15,393.16,402.37
05:30,395.22,406.07
05:45,398.49,411.96
06:00,391.20,405.03
06:15,380.51,403.50
06:30,379.27,399.15
06:45,374.88,394.02
07:00,367.91,387.11
07:15,336.81,380.09
07:30,333.00,371.20
07:45,356.30,374.53
08:00,374.28,386.07
08:15,389.04,392.19
08:30,390.52,412.47
08:45,391.79,410.94
09:00,393.79,409.66
09:15,390.64,404.82
09:30,391.20,409.15
09:45,391.55,398.95
10:00,392.26,364.78
10:15,392.31,378.17
10:30,392.90,405.50
10:45,394.49,406.06
11:00,394.33,409.03
11:15,405.42,416.88
11:30,401.25,385.30
11:45,398.76,388.41
12:00,399.44,387.47
12:15,394.36,393.88
12:30,395.81,397.71
12:45,397.26,398.04
13:00,400.96,395.19
13:15,401.53,396.74
13:30,400.44,396.86
13:45,399.09,383.21
14:00,399.28,407.65
14:15,396.28,396.01
14:30,395.85,396.93
14:45,396.29,401.15
15:00,397.74,403.77
15:15,398.80,407.93
15:30,400.19,410.76
15:45,400.73,411.14
16:00,402.56,406.30
16:15,402.76,404.93
16:30,401.30,413.43
16:45,400.14,408.48
17:00,398.61,401.10
17:15,395.90,399.76
17:30,395.90,398.48
17:45,396.98,398.18
18:00,398.22,397.98
18:15,398.60,401.72
18:30,398.57,399.22
18:45,398.15,398.78
19:00,399.45,399.06
19:15,400.40,400.51
19:30,399.08,399.45
19:45,398.51,397.05
20:00,393.28,393.95
20:15,393.39,391.90
20:30,393.21,393.98
20:45,391.50,391.94
21:00,390.08,390.07
21:15,388.11,388.08
21:30,387.73,389.33
21:45,382.75,383.70
22:00,382.00,382.63
22:15,390.12,386.46
22:30,390.52,389.50
22:45,388.42,389.59
23:00,388.41,395.70
23:15,402.09,412.07
23:30,402.53,411.23
23:45,403.52,403.24
24:00,404.16,411.66
