时间,日前出清价格,实时出清价格
00:15,375.00,359.00
00:30,365.00,353.33
00:45,360.00,348.33
01:00,355.00,339.17
01:15,350.00,325.00
01:30,355.00,326.13
01:45,350.00,323.63
02:00,355.00,327.37
02:15,355.00,333.33
02:30,350.00,335.83
02:45,345.00,333.33
03:00,345.00,330.00
03:15,345.00,333.33
03:30,350.00,327.50
03:45,345.00,329.67
04:00,350.00,333.67
04:15,355.00,329.67
04:30,360.00,333.67
04:45,363.00,343.33
05:00,366.70,351.67
05:15,374.00,359.33
05:30,375.50,363.33
05:45,380.00,365.00
06:00,365.00,240.00
06:15,0.00,304.00
06:30,285.00,310.00
06:45,285.00,300.00
07:00,0.00,295.67
07:15,0.00,247.33
07:30,0.00,140.00
07:45,0.00,0.00
08:00,0.00,101.67
08:15,100.00,215.33
08:30,111.54,166.31
08:45,0.00,187.92
09:00,0.00,140.29
09:15,0.00,128.97
09:30,0.00,126.25
09:45,0.00,129.46
10:00,0.00,125.81
10:15,0.00,132.43
10:30,0.00,125.01
10:45,0.00,127.43
11:00,0.00,125.85
11:15,0.00,134.63
11:30,0.00,125.85
11:45,0.00,113.32
12:00,0.00,108.80
12:15,0.00,108.71
12:30,0.00,108.76
12:45,0.00,115.50
13:00,0.00,116.15
13:15,0.00,143.53
13:30,0.00,106.86
13:45,0.00,114.12
14:00,0.00,0.00
14:15,0.00,0.00
14:30,0.00,0.00
14:45,0.00,0.00
15:00,0.00,0.00
15:15,0.00,0.00
15:30,0.00,0.00
15:45,0.00,71.70
16:00,0.00,122.29
16:15,0.00,0.00
16:30,0.00,303.00
16:45,270.00,341.03
17:00,315.00,340.78
17:15,280.00,299.43
17:30,305.00,343.66
17:45,330.00,344.95
18:00,355.00,343.26
18:15,365.00,327.19
18:30,373.99,323.83
18:45,365.00,346.17
19:00,365.00,358.33
19:15,360.00,367.23
19:30,355.00,375.00
19:45,350.00,384.57
20:00,345.00,386.33
20:15,342.50,384.00
20:30,329.00,377.73
20:45,327.20,372.50
21:00,327.10,372.00
21:15,300.00,371.17
21:30,310.00,371.83
21:45,301.00,371.00
22:00,300.00,367.33
22:15,345.00,367.80
22:30,325.00,367.07
22:45,320.00,361.67
23:00,317.80,369.67
23:15,374.00,431.83
23:30,365.00,373.17
23:45,363.20,383.70
24:00,360.00,388.20
