时间,日前出清价格,实时出清价格
00:15,385.50,361.33
00:30,380.00,358.33
00:45,379.00,349.17
01:00,379.00,344.17
01:15,370.65,344.33
01:30,365.00,338.00
01:45,360.00,340.87
02:00,355.00,343.83
02:15,352.50,336.67
02:30,350.00,332.00
02:45,345.00,335.97
03:00,340.00,329.60
03:15,330.00,324.17
03:30,329.40,323.33
03:45,328.00,322.50
04:00,322.50,319.27
04:15,320.00,316.47
04:30,322.50,320.00
04:45,328.00,320.63
05:00,328.00,319.60
05:15,325.00,319.80
05:30,332.00,323.00
05:45,326.00,320.27
06:00,301.00,314.17
06:15,234.00,248.33
06:30,0.00,250.00
06:45,0.00,267.00
07:00,0.00,286.67
07:15,0.00,290.67
07:30,0.00,271.67
07:45,0.00,0.00
08:00,0.00,0.00
08:15,100.00,31.83
08:30,0.00,90.92
08:45,0.00,137.76
09:00,0.00,153.52
09:15,0.00,156.33
09:30,0.00,0.00
09:45,0.00,0.00
10:00,0.00,43.92
10:15,0.00,119.79
10:30,0.00,164.87
10:45,0.00,178.21
11:00,0.00,181.62
11:15,0.00,65.78
11:30,0.00,0.00
11:45,0.00,0.00
12:00,0.00,0.00
12:15,0.00,0.00
12:30,0.00,0.00
12:45,0.00,0.00
13:00,0.00,0.00
13:15,0.00,0.00
13:30,0.00,0.00
13:45,0.00,0.00
14:00,0.00,0.00
14:15,0.00,0.00
14:30,0.00,0.00
14:45,0.00,0.00
15:00,0.00,0.00
15:15,0.00,5.00
15:30,0.00,0.00
15:45,0.00,0.00
16:00,0.00,0.00
16:15,0.00,0.00
16:30,0.00,285.99
16:45,0.00,317.20
17:00,0.00,294.34
17:15,0.00,209.46
17:30,292.00,316.46
17:45,303.00,325.55
18:00,319.40,334.78
18:15,335.40,344.46
18:30,340.00,318.21
18:45,347.40,308.67
19:00,350.00,306.67
19:15,345.00,329.33
19:30,350.00,331.33
19:45,350.00,325.33
20:00,355.00,324.80
20:15,360.00,317.60
20:30,360.00,314.27
20:45,355.00,308.67
21:00,349.60,320.33
21:15,335.40,315.00
21:30,332.00,317.60
21:45,320.00,319.27
22:00,315.00,320.33
22:15,350.00,320.33
22:30,341.30,315.43
22:45,328.00,318.09
23:00,320.00,320.15
23:15,395.82,337.78
23:30,376.50,311.76
23:45,376.00,323.09
24:00,370.00,350.47
