时间,日前出清价格,实时出清价格
00:15,408.10,421.87
00:30,409.60,423.00
00:45,414.57,428.40
01:00,416.43,426.50
01:15,409.96,424.00
01:30,410.75,427.33
01:45,409.57,427.73
02:00,408.98,425.40
02:15,409.57,424.20
02:30,408.98,422.46
02:45,408.89,423.90
03:00,408.10,421.73
03:15,408.90,420.53
03:30,409.37,421.27
03:45,408.98,418.27
04:00,409.37,415.70
04:15,409.57,414.31
04:30,410.55,416.85
04:45,416.23,418.23
05:00,417.80,420.16
05:15,419.08,423.13
05:30,420.45,423.60
05:45,419.96,423.77
06:00,408.30,415.23
06:15,401.00,401.37
06:30,399.00,398.63
06:45,392.50,397.73
07:00,383.20,398.17
07:15,362.70,401.00
07:30,352.00,401.70
07:45,343.60,375.37
08:00,352.00,385.90
08:15,385.40,343.67
08:30,384.60,330.23
08:45,383.20,387.10
09:00,383.20,360.10
09:15,390.00,341.63
09:30,380.53,350.07
09:45,377.00,322.43
10:00,383.20,337.37
10:15,382.00,343.07
10:30,387.40,354.30
10:45,389.60,355.27
11:00,391.00,374.54
11:15,406.00,406.69
11:30,398.00,388.00
11:45,395.50,393.80
12:00,394.00,396.63
12:15,391.60,389.83
12:30,393.30,391.47
12:45,395.00,390.48
13:00,397.60,388.53
13:15,391.70,386.81
13:30,395.00,379.23
13:45,398.40,389.17
14:00,399.00,392.73
14:15,399.30,394.87
14:30,401.70,399.36
14:45,409.00,400.68
15:00,413.30,404.61
15:15,410.00,405.03
15:30,413.30,404.10
15:45,414.30,408.23
16:00,419.30,406.83
16:15,418.90,404.63
16:30,418.00,408.10
16:45,416.40,410.33
17:00,412.10,414.24
17:15,409.40,414.27
17:30,410.00,411.54
17:45,414.11,410.27
18:00,415.00,409.40
18:15,414.30,409.17
18:30,410.60,409.50
18:45,409.00,409.83
19:00,405.30,409.40
19:15,405.30,407.90
19:30,401.00,405.90
19:45,397.60,402.07
20:00,394.00,400.43
20:15,391.60,398.43
20:30,391.70,392.77
20:45,391.10,390.77
21:00,387.40,381.03
21:15,380.30,369.80
21:30,372.10,371.47
21:45,361.30,362.13
22:00,354.10,358.37
22:15,377.10,365.20
22:30,375.30,363.67
22:45,361.30,367.03
23:00,352.30,380.60
23:15,394.90,401.43
23:30,395.00,403.74
23:45,392.10,405.37
24:00,391.60,407.13
