时间,日前出清价格,实时出清价格
00:15,410.00,430.00
00:30,362.02,429.00
00:45,352.42,369.33
01:00,345.89,366.00
01:15,339.94,357.00
01:30,340.42,351.13
01:45,340.42,340.07
02:00,338.02,342.30
02:15,338.02,343.50
02:30,336.96,346.47
02:45,328.48,349.17
03:00,328.48,343.63
03:15,325.11,348.50
03:30,330.37,339.63
03:45,325.11,343.17
04:00,325.13,340.90
04:15,330.39,335.33
04:30,333.93,342.00
04:45,345.85,344.70
05:00,346.86,342.33
05:15,353.31,355.00
05:30,360.92,353.50
05:45,365.06,361.33
06:00,330.00,153.33
06:15,280.00,211.67
06:30,280.00,294.93
06:45,100.00,238.33
07:00,0.00,0.33
07:15,0.00,0.00
07:30,0.00,0.00
07:45,0.00,0.00
08:00,0.00,0.00
08:15,0.00,89.79
08:30,0.00,123.43
08:45,0.00,122.28
09:00,0.00,80.63
09:15,0.00,0.00
09:30,0.00,0.00
09:45,0.00,19.02
10:00,0.00,7.84
10:15,0.00,0.00
10:30,0.00,0.00
10:45,0.00,0.00
11:00,0.00,0.00
11:15,0.00,28.70
11:30,0.00,86.96
11:45,0.00,0.00
12:00,0.00,0.00
12:15,0.00,0.00
12:30,0.00,0.00
12:45,0.00,0.00
13:00,0.00,0.00
13:15,0.00,0.00
13:30,0.00,0.00
13:45,0.00,0.00
14:00,0.00,0.00
14:15,0.00,58.65
14:30,0.00,95.51
14:45,0.00,94.09
15:00,0.00,91.25
15:15,0.00,0.00
15:30,0.00,0.00
15:45,0.00,0.00
16:00,0.00,0.00
16:15,0.00,0.00
16:30,0.00,1.60
16:45,0.00,4.95
17:00,226.00,5.74
17:15,200.00,15.54
17:30,300.00,311.33
17:45,311.82,339.58
18:00,317.43,326.93
18:15,328.62,293.09
18:30,328.62,303.30
18:45,319.02,304.74
19:00,319.01,321.56
19:15,319.02,355.56
19:30,319.00,356.88
19:45,318.43,345.34
20:00,318.04,333.83
20:15,314.23,327.31
20:30,313.28,315.49
20:45,309.48,315.81
21:00,304.74,323.19
21:15,295.00,319.10
21:30,299.00,318.77
21:45,299.00,304.35
22:00,290.00,304.34
22:15,342.10,297.93
22:30,334.45,297.43
22:45,320.02,301.00
23:00,318.48,306.86
23:15,367.22,365.69
23:30,352.75,330.64
23:45,340.68,331.75
24:00,340.09,341.40
