时间,日前出清价格,实时出清价格
00:15,390.00,388.10
00:30,390.00,386.07
00:45,389.00,385.30
01:00,390.00,386.00
01:15,388.00,381.60
01:30,386.00,381.87
01:45,384.00,377.07
02:00,382.50,374.54
02:15,378.10,369.04
02:30,376.00,368.91
02:45,368.10,368.09
03:00,365.40,366.32
03:15,365.40,367.53
03:30,365.20,365.01
03:45,364.30,366.32
04:00,363.00,365.86
04:15,364.90,366.25
04:30,364.30,367.53
04:45,365.40,367.96
05:00,365.30,369.53
05:15,370.00,375.47
05:30,375.00,376.33
05:45,380.40,376.87
06:00,365.60,357.00
06:15,0.00,206.67
06:30,0.00,295.00
06:45,0.00,161.67
07:00,0.00,0.00
07:15,0.00,0.00
07:30,0.00,0.00
07:45,0.00,0.00
08:00,0.00,0.00
08:15,0.00,0.00
08:30,0.00,0.00
08:45,0.00,0.00
09:00,0.00,0.00
09:15,0.00,0.00
09:30,0.00,0.00
09:45,0.00,0.00
10:00,0.00,0.00
10:15,0.00,0.00
10:30,0.00,0.00
10:45,0.00,0.00
11:00,0.00,10.16
11:15,0.00,8.88
11:30,0.00,8.95
11:45,0.00,8.85
12:00,0.00,19.59
12:15,0.00,21.09
12:30,0.00,0.00
12:45,0.00,0.00
13:00,0.00,0.00
13:15,0.00,0.00
13:30,0.00,0.00
13:45,0.00,0.00
14:00,0.00,0.00
14:15,0.00,0.00
14:30,0.00,0.00
14:45,0.00,0.00
15:00,0.00,0.00
15:15,0.00,0.00
15:30,0.00,0.00
15:45,0.00,0.00
16:00,0.00,0.00
16:15,0.00,307.40
16:30,100.00,278.24
16:45,347.10,284.75
17:00,300.00,106.21
17:15,300.00,218.87
17:30,347.10,213.53
17:45,370.00,336.47
18:00,386.00,352.73
18:15,390.00,329.60
18:30,388.10,313.90
18:45,388.00,313.33
19:00,388.00,318.67
19:15,387.00,355.83
19:30,387.00,361.83
19:45,387.00,366.30
20:00,387.00,363.10
20:15,387.00,363.83
20:30,387.00,354.73
20:45,386.00,351.67
21:00,380.40,346.30
21:15,365.40,342.57
21:30,365.00,336.87
21:45,360.80,313.47
22:00,359.60,306.67
22:15,384.70,310.00
22:30,375.00,308.67
22:45,370.00,310.00
23:00,370.00,317.03
23:15,388.30,349.60
23:30,386.10,342.20
23:45,386.10,349.23
24:00,388.74,360.00
